,img,colormap,dataset,arquitetura_cnn
RP,PigArtPressure,binary,0.0192307699471712,vgg16_tf
RP,PLAID,binary,0.1620111763477325,vgg16_tf
RP,MiddlePhalanxTW,binary,0.2727272808551788,vgg16_tf
RP,BeetleFly,binary,0.5,vgg16_tf
RP,DistalPhalanxOutlineCorrect,binary,0.5833333134651184,vgg16_tf
RP,EOGVerticalSignal,binary,0.0828729271888732,vgg16_tf
RP,SmoothSubspace,binary,0.3333333432674408,vgg16_tf
RP,SmallKitchenAppliances,binary,0.3333333432674408,vgg16_tf
RP,GunPointMaleVersusFemale,binary,0.474683552980423,vgg16_tf
RP,DodgerLoopWeekend,binary,0.739130437374115,vgg16_tf
RP,Adiac,binary,0.020460357889533,vgg16_tf
RP,SonyAIBORobotSurface1,binary,0.4292845129966736,vgg16_tf
RP,CricketY,binary,0.0794871821999549,vgg16_tf
RP,Wine,binary,0.5,vgg16_tf
RP,PickupGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
RP,GunPointOldVersusYoung,binary,0.523809552192688,vgg16_tf
RP,Fungi,binary,0.059139784425497,vgg16_tf
RP,ShapesAll,binary,0.016666667535901,vgg16_tf
RP,UMD,binary,0.3333333432674408,vgg16_tf
RP,GunPoint,binary,0.4933333396911621,vgg16_tf
RP,DiatomSizeReduction,binary,0.3006536066532135,vgg16_tf
RP,GesturePebbleZ1,binary,0.1569767445325851,vgg16_tf
RP,ToeSegmentation1,binary,0.5263158082962036,vgg16_tf
RP,RefrigerationDevices,binary,0.3333333432674408,vgg16_tf
RP,PowerCons,binary,0.5,vgg16_tf
RP,WormsTwoClass,binary,0.5714285969734192,vgg16_tf
RP,Worms,binary,0.4285714328289032,vgg16_tf
RP,ScreenType,binary,0.3333333432674408,vgg16_tf
RP,Fish,binary,0.1257142871618271,vgg16_tf
RP,Lightning7,binary,0.2602739632129669,vgg16_tf
RP,AllGestureWiimoteX,binary,0.1000000014901161,vgg16_tf
RP,DodgerLoopGame,binary,0.47826087474823,vgg16_tf
RP,HouseTwenty,binary,0.4201680719852447,vgg16_tf
RP,ShapeletSim,binary,0.5,vgg16_tf
RP,MedicalImages,binary,0.5144736766815186,vgg16_tf
RP,Meat,binary,0.3333333432674408,vgg16_tf
RP,ArrowHead,binary,0.3028571307659149,vgg16_tf
RP,Computers,binary,0.5,vgg16_tf
RP,Coffee,binary,0.5357142686843872,vgg16_tf
RP,Lightning2,binary,1.0,vgg16_tf
RP,GesturePebbleZ2,binary,0.1582278460264206,vgg16_tf
RP,EOGHorizontalSignal,binary,0.0828729271888732,vgg16_tf
RP,FreezerSmallTrain,binary,0.5,vgg16_tf
RP,CBF,binary,0.3311111032962799,vgg16_tf
RP,LargeKitchenAppliances,binary,0.3333333432674408,vgg16_tf
RP,GunPointAgeSpan,binary,0.4936708807945251,vgg16_tf
RP,SyntheticControl,binary,0.1666666716337204,vgg16_tf
RP,InsectEPGSmallTrain,binary,0.4738955795764923,vgg16_tf
RP,SemgHandMovementCh2,binary,0.1666666716337204,vgg16_tf
CWT,ItalyPowerDemand,plasma,0.5014577507972717,vgg16_tf
CWT,Car,plasma,0.233333334326744,vgg16_tf
CWT,Haptics,plasma,0.18831168115139,vgg16_tf
CWT,DistalPhalanxOutlineAgeGroup,plasma,0.4676258862018585,vgg16_tf
CWT,Strawberry,plasma,0.6432432532310486,vgg16_tf
CWT,ECG200,plasma,1.0,vgg16_tf
CWT,FiftyWords,plasma,0.1252747327089309,vgg16_tf
CWT,AllGestureWiimoteY,plasma,0.1000000014901161,vgg16_tf
CWT,GestureMidAirD3,plasma,0.0384615398943424,vgg16_tf
CWT,Ham,plasma,0.5142857432365417,vgg16_tf
CWT,SwedishLeaf,plasma,0.0527999997138977,vgg16_tf
CWT,DodgerLoopDay,plasma,0.1500000059604644,vgg16_tf
CWT,PigCVP,plasma,0.0192307699471712,vgg16_tf
CWT,ShakeGestureWiimoteZ,plasma,0.1000000014901161,vgg16_tf
CWT,MiddlePhalanxOutlineCorrect,plasma,0.5704467296600342,vgg16_tf
CWT,DistalPhalanxTW,plasma,0.3021582663059234,vgg16_tf
CWT,WordSynonyms,plasma,0.2194357365369796,vgg16_tf
CWT,TwoLeadECG,plasma,0.4995610117912292,vgg16_tf
CWT,SemgHandSubjectCh2,plasma,0.2000000029802322,vgg16_tf
CWT,BME,plasma,0.3333333432674408,vgg16_tf
CWT,MiddlePhalanxOutlineAgeGroup,plasma,0.18831168115139,vgg16_tf
CWT,Trace,plasma,0.1899999976158142,vgg16_tf
CWT,InlineSkate,plasma,0.1545454561710357,vgg16_tf
CWT,Symbols,plasma,0.1738693416118621,vgg16_tf
CWT,GestureMidAirD2,plasma,0.0384615398943424,vgg16_tf
CWT,SonyAIBORobotSurface2,plasma,0.6169989705085754,vgg16_tf
CWT,Earthquakes,plasma,0.7482014298439026,vgg16_tf
CWT,ProximalPhalanxOutlineCorrect,plasma,0.6838487982749939,vgg16_tf
CWT,Rock,plasma,0.1800000071525573,vgg16_tf
CWT,OSULeaf,plasma,0.1900826394557953,vgg16_tf
CWT,ECGFiveDays,plasma,0.4970963895320892,vgg16_tf
CWT,CricketX,plasma,0.0666666701436042,vgg16_tf
CWT,ACSF1,plasma,0.1000000014901161,vgg16_tf
CWT,Chinatown,plasma,0.2740524709224701,vgg16_tf
CWT,CricketZ,plasma,0.0615384615957737,vgg16_tf
CWT,ToeSegmentation2,plasma,0.8153846263885498,vgg16_tf
CWT,PigAirwayPressure,plasma,0.0192307699471712,vgg16_tf
CWT,Herring,plasma,0.59375,vgg16_tf
CWT,PigArtPressure,plasma,0.0192307699471712,vgg16_tf
CWT,PLAID,plasma,0.1620111763477325,vgg16_tf
CWT,MiddlePhalanxTW,plasma,0.2727272808551788,vgg16_tf
CWT,BeetleFly,plasma,0.5,vgg16_tf
CWT,DistalPhalanxOutlineCorrect,plasma,0.5833333134651184,vgg16_tf
CWT,EOGVerticalSignal,plasma,0.0828729271888732,vgg16_tf
CWT,SmoothSubspace,plasma,0.3333333432674408,vgg16_tf
CWT,SmallKitchenAppliances,plasma,0.3333333432674408,vgg16_tf
CWT,GunPointMaleVersusFemale,plasma,0.474683552980423,vgg16_tf
CWT,DodgerLoopWeekend,plasma,0.260869562625885,vgg16_tf
CWT,Adiac,plasma,0.020460357889533,vgg16_tf
CWT,SonyAIBORobotSurface1,plasma,0.4292845129966736,vgg16_tf
CWT,CricketY,plasma,0.0794871821999549,vgg16_tf
CWT,Wine,plasma,0.5,vgg16_tf
CWT,PickupGestureWiimoteZ,plasma,0.1000000014901161,vgg16_tf
CWT,GunPointOldVersusYoung,plasma,0.523809552192688,vgg16_tf
CWT,Fungi,plasma,0.0376344099640846,vgg16_tf
CWT,ShapesAll,plasma,0.016666667535901,vgg16_tf
CWT,UMD,plasma,0.3333333432674408,vgg16_tf
CWT,GunPoint,plasma,0.4933333396911621,vgg16_tf
CWT,DiatomSizeReduction,plasma,0.3006536066532135,vgg16_tf
CWT,GesturePebbleZ1,plasma,0.1569767445325851,vgg16_tf
CWT,ToeSegmentation1,plasma,0.5263158082962036,vgg16_tf
CWT,RefrigerationDevices,plasma,0.3333333432674408,vgg16_tf
CWT,PowerCons,plasma,0.5,vgg16_tf
CWT,WormsTwoClass,plasma,0.5714285969734192,vgg16_tf
CWT,Worms,plasma,0.4285714328289032,vgg16_tf
CWT,ScreenType,plasma,0.3333333432674408,vgg16_tf
CWT,Fish,plasma,0.1257142871618271,vgg16_tf
CWT,Lightning7,plasma,0.2602739632129669,vgg16_tf
CWT,AllGestureWiimoteX,plasma,0.1000000014901161,vgg16_tf
CWT,DodgerLoopGame,plasma,0.47826087474823,vgg16_tf
CWT,HouseTwenty,plasma,0.4201680719852447,vgg16_tf
CWT,ShapeletSim,plasma,0.5,vgg16_tf
CWT,MedicalImages,plasma,0.5144736766815186,vgg16_tf
CWT,Meat,plasma,0.3333333432674408,vgg16_tf
CWT,ArrowHead,plasma,0.3028571307659149,vgg16_tf
CWT,Computers,plasma,0.5,vgg16_tf
CWT,Coffee,plasma,0.5357142686843872,vgg16_tf
CWT,Lightning2,plasma,1.0,vgg16_tf
CWT,GesturePebbleZ2,plasma,0.1582278460264206,vgg16_tf
CWT,EOGHorizontalSignal,plasma,0.0828729271888732,vgg16_tf
CWT,FreezerSmallTrain,plasma,0.5,vgg16_tf
CWT,CBF,plasma,0.3311111032962799,vgg16_tf
CWT,LargeKitchenAppliances,plasma,0.3333333432674408,vgg16_tf
CWT,GunPointAgeSpan,plasma,0.4936708807945251,vgg16_tf
CWT,SyntheticControl,plasma,0.1666666716337204,vgg16_tf
CWT,InsectEPGSmallTrain,plasma,0.4738955795764923,vgg16_tf
CWT,SemgHandMovementCh2,plasma,0.1666666716337204,vgg16_tf
MTF,FaceFour,plasma,0.159090906381607,vgg16_tf
MTF,BirdChicken,plasma,0.5,vgg16_tf
MTF,ProximalPhalanxTW,plasma,0.35121950507164,vgg16_tf
MTF,CinCECGTorso,plasma,0.2478260844945907,vgg16_tf
MTF,Beef,plasma,0.2000000029802322,vgg16_tf
MTF,EthanolLevel,plasma,0.2479999959468841,vgg16_tf
MTF,MoteStrain,plasma,0.4608626067638397,vgg16_tf
MTF,GestureMidAirD1,plasma,0.0384615398943424,vgg16_tf
MTF,OliveOil,plasma,0.4000000059604645,vgg16_tf
MTF,ProximalPhalanxOutlineAgeGroup,plasma,0.4292683005332947,vgg16_tf
MTF,SemgHandGenderCh2,plasma,0.3499999940395355,vgg16_tf
MTF,Plane,plasma,0.095238097012043,vgg16_tf
MTF,AllGestureWiimoteZ,plasma,0.1000000014901161,vgg16_tf
MTF,ItalyPowerDemand,plasma,0.5014577507972717,vgg16_tf
MTF,Car,plasma,0.233333334326744,vgg16_tf
MTF,Haptics,plasma,0.18831168115139,vgg16_tf
MTF,DistalPhalanxOutlineAgeGroup,plasma,0.4676258862018585,vgg16_tf
MTF,Strawberry,plasma,0.6432432532310486,vgg16_tf
MTF,ECG200,plasma,1.0,vgg16_tf
MTF,FiftyWords,plasma,0.1252747327089309,vgg16_tf
MTF,AllGestureWiimoteY,plasma,0.1000000014901161,vgg16_tf
MTF,GestureMidAirD3,plasma,0.0384615398943424,vgg16_tf
MTF,Ham,plasma,0.5142857432365417,vgg16_tf
MTF,SwedishLeaf,plasma,0.0527999997138977,vgg16_tf
MTF,DodgerLoopDay,plasma,0.1500000059604644,vgg16_tf
MTF,PigCVP,plasma,0.0192307699471712,vgg16_tf
MTF,ShakeGestureWiimoteZ,plasma,0.1000000014901161,vgg16_tf
MTF,MiddlePhalanxOutlineCorrect,plasma,0.5704467296600342,vgg16_tf
MTF,DistalPhalanxTW,plasma,0.3021582663059234,vgg16_tf
